Fight,Name,Job,DPS,Rank,patch_number
Black Cat,Rafa Vass,paladin,16997.463823367,46,7.1
Black Cat,Kaine Crimson,gunbreaker,16452.470765749,37,7.1
Black Cat,Rafa Vass,paladin,33449.9,53,7.1
Honey B. Lovely,Conrad Stormwall,darkknight,12676.898187213,0,7.1
Honey B. Lovely,Rafa Vass,paladin,16785.138068538,33,7.1
Honey B. Lovely,Conrad Stormwall,darkknight,29462,4,7.1
Black Cat,Sayo Aisaka,astrologian,10134.447458607,35,7.1
Black Cat,Poison Waffle,sage,14171.854057481,69,7.1
Black Cat,Sayo Aisaka,astrologian,24306.3,66,7.1
Honey B. Lovely,Sayo Aisaka,astrologian,10259.994488146,32,7.1
Honey B. Lovely,Fitz Lionheart,sage,11664.363823185,24,7.1
Honey B. Lovely,Sayo Aisaka,astrologian,21924.4,38,7.1
Black Cat,Soma Zero,machinist,22347.556916335,35,7.1
Black Cat,Vasz Ravenfall,ninja,19585.616026068,8,7.1
Black Cat,Dell Chan,redmage,22613.114681734,58,7.1
Black Cat,Nuharu Suzuka,viper,27471.750069094,61,7.1
Honey B. Lovely,Soma Zero,machinist,23485.920629836,39,7.1
Honey B. Lovely,Vasz Ravenfall,ninja,18740.491261656,1,7.1
Honey B. Lovely,Dell Chan,redmage,22675.357941748,47,7.1
Honey B. Lovely,Nuharu Suzuka,viper,25777.914528225,29,7.1
Black Cat,Rena Yuki,paladin,16631.397239863,40,7.1
Black Cat,Ai Tsukuyomi,warrior,13823.345780297,8,7.1
Black Cat,Rena Yuki,paladin,30454.7,27,7.1
Honey B. Lovely,Rena Yuki,paladin,14945.112632844,8,7.1
Honey B. Lovely,Ai Tsukuyomi,warrior,11546.330537441,0,7.1
Honey B. Lovely,Rena Yuki,paladin,26491.4,0,7.1
Black Cat,Bigon Truesilver,scholar,9444.8272415892,21,7.1
Black Cat,Angel Valentine,whitemage,6316.9742066196,0,7.1
Black Cat,Bigon Truesilver,scholar,15761.8,2,7.1
Honey B. Lovely,Bigon Truesilver,scholar,8411.5844258866,8,7.1
Honey B. Lovely,Nanako Nako,whitemage,12532.689939288,37,7.1
Honey B. Lovely,Bigon Truesilver,scholar,20944.3,25,7.1
Black Cat,Chaser Dc,dancer,18219.611691061,32,7.1
Black Cat,Rhaast Zenith,reaper,26092.987439743,66,7.1
Black Cat,Zion Zoen,viper,20794.118128049,5,7.1
Black Cat,Valkyries Zearaskia,pictomancer,23982.777762635,43,7.1
Honey B. Lovely,Chaser Dc,dancer,18225.314017069,19,7.1
Honey B. Lovely,Rhaast Zenith,reaper,25333.17001126,50,7.1
Honey B. Lovely,Zion Zoen,viper,21939.676392016,3,7.1
Honey B. Lovely,Valkyries Zearaskia,pictomancer,24156.424413421,34,7.1
Brute Bomber,Sabre Mau,paladin,16206.072908396,17,7.1
Brute Bomber,Cinna Nuko,warrior,17030.221876241,31,7.1
Brute Bomber,Sabre Mau,paladin,33236.3,37,7.1
Brute Bomber,Mayo Ne-z,astrologian,11331.566035629001,59,7.1
Brute Bomber,Koho Ori,scholar,10659.501848452,39,7.1
Brute Bomber,Mayo Ne-z,astrologian,21991.1,60,7.1
Brute Bomber,Rinnnu Rusk,summoner,21209.611771875,21,7.1
Brute Bomber,Burton Cliff,samurai,23502.167173336,10,7.1
Brute Bomber,Miru Tosu,dancer,17707.922910877,8,7.1
Brute Bomber,Maki Mutsuki,viper,28189.965160904,65,7.1
Brute Bomber,Sabre Mau,paladin,16206.072908396,17,7.1
Brute Bomber,Cinna Nuko,warrior,17030.221876241,31,7.1
Brute Bomber,Sabre Mau,paladin,33236.3,37,7.1
Brute Bomber,Mayo Ne-z,astrologian,11331.566035629001,59,7.1
Brute Bomber,Koho Ori,scholar,10659.501848452,39,7.1
Brute Bomber,Mayo Ne-z,astrologian,21991.1,60,7.1
Brute Bomber,Rinnnu Rusk,summoner,21209.611771875,21,7.1
Brute Bomber,Burton Cliff,samurai,23502.167173336,10,7.1
Brute Bomber,Miru Tosu,dancer,17707.922910877,8,7.1
Brute Bomber,Maki Mutsuki,viper,28189.965160904,65,7.1
Honey B. Lovely,Griller Two,paladin,16859.668735941,34,7.1
Honey B. Lovely,Dainen Two,warrior,15722.18300583,16,7.1
Honey B. Lovely,Griller Two,paladin,32581.9,36,7.1
Brute Bomber,Griller Two,paladin,16807.872547339,27,7.1
Brute Bomber,Dainen Two,warrior,16230.705145562,16,7.1
Brute Bomber,Griller Two,paladin,33038.6,33,7.1
Honey B. Lovely,Narcissa Black,whitemage,10950.529927924,14,7.1
Honey B. Lovely,Tekatemo Vanluan,sage,9092.3861279798,4,7.1
Honey B. Lovely,Narcissa Black,whitemage,20042.9,5,7.1
Brute Bomber,Luviane Two,whitemage,12609.384637814,35,7.1
Brute Bomber,Jorin Runir,sage,12476.404627593,36,7.1
Brute Bomber,Luviane Two,whitemage,25085.8,55,7.1
Honey B. Lovely,Stan Brigs,dragoon,20975.209235404,7,7.1
Honey B. Lovely,Ziwinius Kabalus,dancer,18028.033153426,17,7.1
Honey B. Lovely,Mega Minh,viper,24182.277980802,13,7.1
Honey B. Lovely,Lucas Rahl,pictomancer,22297.996015039,16,7.1
Brute Bomber,Minerva Adementar,bard,18973.777935143,28,7.1
Brute Bomber,Skeela Dreev,reaper,26358.24432165,65,7.1
Brute Bomber,Sarife Ignis,viper,25519.433038168,20,7.1
Brute Bomber,Shion Scarlet,pictomancer,24109.318149411,26,7.1
Honey B. Lovely,Griller Two,paladin,16859.668735941,34,7.1
Honey B. Lovely,Dainen Two,warrior,15722.18300583,16,7.1
Honey B. Lovely,Griller Two,paladin,32581.9,36,7.1
Brute Bomber,Griller Two,paladin,16807.872547339,27,7.1
Brute Bomber,Dainen Two,warrior,16230.705145562,16,7.1
Brute Bomber,Griller Two,paladin,33038.6,33,7.1
Honey B. Lovely,Narcissa Black,whitemage,10950.529927924,14,7.1
Honey B. Lovely,Tekatemo Vanluan,sage,9092.3861279798,4,7.1
Honey B. Lovely,Narcissa Black,whitemage,20042.9,5,7.1
Brute Bomber,Luviane Two,whitemage,12609.384637814,35,7.1
Brute Bomber,Jorin Runir,sage,12476.404627593,36,7.1
Brute Bomber,Luviane Two,whitemage,25085.8,55,7.1
Honey B. Lovely,Stan Brigs,dragoon,20975.209235404,7,7.1
Honey B. Lovely,Ziwinius Kabalus,dancer,18028.033153426,17,7.1
Honey B. Lovely,Mega Minh,viper,24182.277980802,13,7.1
Honey B. Lovely,Lucas Rahl,pictomancer,22297.996015039,16,7.1
Brute Bomber,Minerva Adementar,bard,18973.777935143,28,7.1
Brute Bomber,Skeela Dreev,reaper,26358.24432165,65,7.1
Brute Bomber,Sarife Ignis,viper,25519.433038168,20,7.1
Brute Bomber,Shion Scarlet,pictomancer,24109.318149411,26,7.1
Black Cat,Sena Defillrose,paladin,18112.57091966,66,7.1
Black Cat,Michel Oekaki,gunbreaker,17654.782778102,57,7.1
Black Cat,Sena Defillrose,paladin,35767.4,76,7.1
Honey B. Lovely,Sena Defillrose,paladin,18288.451714561,66,7.1
Honey B. Lovely,Michel Oekaki,gunbreaker,16840.94621041,37,7.1
Honey B. Lovely,Sena Defillrose,paladin,35129.4,67,7.1
Brute Bomber,Sena Defillrose,paladin,17860.985893848,52,7.1
Brute Bomber,Michel Oekaki,gunbreaker,16414.610720163,19,7.1
Brute Bomber,Sena Defillrose,paladin,34275.6,50,7.1
Wicked Thunder,Sena Defillrose,darkknight,18492.961826235,62,7.1
Wicked Thunder,Michel Oekaki,gunbreaker,16687.223482325,17,7.1
Wicked Thunder,Sena Defillrose,darkknight,35180.2,52,7.1
Black Cat,Mytake Kokusan,scholar,12272.14263847,67,7.1
Black Cat,Me Cab,whitemage,14513.082614694,77,7.1
Black Cat,Mytake Kokusan,scholar,26785.2,86,7.1
Honey B. Lovely,Mytake Kokusan,scholar,11212.528600003,49,7.1
Honey B. Lovely,Me Cab,whitemage,12204.785014318,31,7.1
Honey B. Lovely,Mytake Kokusan,scholar,23417.3,57,7.1
Brute Bomber,Mytake Kokusan,scholar,11776.358589513,66,7.1
Brute Bomber,Me Cab,whitemage,13395.918308542,53,7.1
Brute Bomber,Mytake Kokusan,scholar,25172.3,80,7.1
Wicked Thunder,Me Cab,astrologian,9638.5991912114,15,7.1
Wicked Thunder,Mytake Kokusan,scholar,10233.276702178,25,7.1
Wicked Thunder,Me Cab,astrologian,19871.9,22,7.1
Black Cat,Blanc Farfugium,bard,19618.922379004,59,7.1
Black Cat,Ponsuke Scheveornanco,ninja,23560.496904782,43,7.1
Black Cat,Rearea Eushelia,redmage,21048.302898015,38,7.1
Black Cat,Azuki N-,samurai,24040.331269855,29,7.1
Honey B. Lovely,Blanc Farfugium,bard,20020.081159253,57,7.1
Honey B. Lovely,Ponsuke Scheveornanco,ninja,24448.46603255,45,7.1
Honey B. Lovely,Rearea Eushelia,redmage,20346.099607155,14,7.1
Honey B. Lovely,Azuki N-,samurai,25427.751716,38,7.1
Brute Bomber,Blanc Farfugium,bard,20735.010213033,74,7.1
Brute Bomber,Ponsuke Scheveornanco,ninja,24266.502532448,39,7.1
Brute Bomber,Rearea Eushelia,redmage,22994.088286708,49,7.1
Brute Bomber,Azuki N-,samurai,25519.949030882,32,7.1
Wicked Thunder,Blanc Farfugium,bard,18009.668070078,9,7.1
Wicked Thunder,Ponsuke Scheveornanco,ninja,22549.927985719,9,7.1
Wicked Thunder,Rearea Eushelia,redmage,22031.045543791,22,7.1
Wicked Thunder,Azuki N-,samurai,24855.047916436,14,7.1
Honey B. Lovely,Cinnamon Vulpo,warrior,17106.098935333,43,7.1
Honey B. Lovely,Rau Geneva,gunbreaker,15689.791186455,16,7.1
Honey B. Lovely,Cinnamon Vulpo,warrior,32795.9,39,7.1
Brute Bomber,Cinnamon Vulpo,warrior,18357.397256853,69,7.1
Brute Bomber,Rau Geneva,gunbreaker,15437.288130303,8,7.1
Brute Bomber,Cinnamon Vulpo,warrior,33794.7,46,7.1
Honey B. Lovely,Yuriusa Satsuki,astrologian,8908.3099823974,12,7.1
Honey B. Lovely,Reia Alberich,scholar,10472.499804227,35,7.1
Honey B. Lovely,Yuriusa Satsuki,astrologian,19380.8,23,7.1
Brute Bomber,Yuriusa Satsuki,astrologian,9554.087251297,18,7.1
Brute Bomber,Reia Alberich,scholar,11940.901230483,70,7.1
Brute Bomber,Yuriusa Satsuki,astrologian,21495,53,7.1
Honey B. Lovely,Minami Mikado,monk,22924.955823321,20,7.1
Honey B. Lovely,Featherine Auau,redmage,22949.407757637,51,7.1
Honey B. Lovely,Rae Laveire,dancer,19307.3505228,36,7.1
Honey B. Lovely,Alterna Ploa,viper,25149.953125402,22,7.1
Brute Bomber,Minami Mikado,monk,24736.849251784,43,7.1
Brute Bomber,Featherine Auau,redmage,19924.853687756,7,7.1
Brute Bomber,Rae Laveire,dancer,20221.908341189,50,7.1
Brute Bomber,Alterna Ploa,viper,26926.480043131,40,7.1
Honey B. Lovely,Cinnamon Vulpo,warrior,17106.098935333,43,7.1
Honey B. Lovely,Rau Geneva,gunbreaker,15689.791186455,16,7.1
Honey B. Lovely,Cinnamon Vulpo,warrior,32795.9,39,7.1
Honey B. Lovely,Yuriusa Satsuki,astrologian,8908.3099823974,12,7.1
Honey B. Lovely,Reia Alberich,scholar,10472.499804227,35,7.1
Honey B. Lovely,Yuriusa Satsuki,astrologian,19380.8,23,7.1
Honey B. Lovely,Minami Mikado,monk,22924.955823321,20,7.1
Honey B. Lovely,Featherine Auau,redmage,22949.407757637,51,7.1
Honey B. Lovely,Rae Laveire,dancer,19307.3505228,36,7.1
Honey B. Lovely,Alterna Ploa,viper,25149.953125402,22,7.1
Black Cat,Discord Femhroth,warrior,15724.356441762,28,7.1
Black Cat,Illusion Dragonsbane,gunbreaker,17853.032774402,60,7.1
Black Cat,Discord Femhroth,warrior,33577.4,60,7.1
Honey B. Lovely,Discord Femhroth,warrior,17610.546981832,55,7.1
Honey B. Lovely,Illusion Dragonsbane,gunbreaker,18248.376636062,67,7.1
Honey B. Lovely,Discord Femhroth,warrior,35858.9,80,7.1
Brute Bomber,Discord Femhroth,warrior,17423.781166518,42,7.1
Brute Bomber,Illusion Dragonsbane,gunbreaker,17398.957624011,40,7.1
Brute Bomber,Discord Femhroth,warrior,34822.7,63,7.1
Wicked Thunder,Discord Femhroth,warrior,17061.259086264,26,7.1
Wicked Thunder,Illusion Dragonsbane,gunbreaker,16644.231872756,17,7.1
Wicked Thunder,Discord Femhroth,warrior,33705.5,33,7.1
Black Cat,Bingo Ingo,astrologian,12426.782352279,80,7.1
Black Cat,Slate Mnemosyne,scholar,11040.885785105,46,7.1
Black Cat,Bingo Ingo,astrologian,23467.7,64,7.1
Honey B. Lovely,Bingo Ingo,astrologian,13135.858566126,94,7.1
Honey B. Lovely,Slate Mnemosyne,scholar,11971.959367064,65,7.1
Honey B. Lovely,Bingo Ingo,astrologian,25107.8,86,7.1
Brute Bomber,Bingo Ingo,astrologian,11790.087606726,72,7.1
Brute Bomber,Slate Mnemosyne,scholar,10741.655099261,41,7.1
Brute Bomber,Bingo Ingo,astrologian,22531.7,67,7.1
Wicked Thunder,Bingo Ingo,astrologian,12511.795378087,85,7.1
Wicked Thunder,Slate Mnemosyne,scholar,10854.300359372,38,7.1
Wicked Thunder,Bingo Ingo,astrologian,23366.1,70,7.1
Black Cat,Scylla Lowee,machinist,26296.618380946,96,7.1
Black Cat,Misa Akari,monk,24855.052343252,52,7.1
Black Cat,Cassia Love,viper,28449.231740569,75,7.1
Black Cat,Nemui Yawaraka,pictomancer,27809.233796917,86,7.1
Honey B. Lovely,Scylla Lowee,machinist,26698.104252604,97,7.1
Honey B. Lovely,Misa Akari,monk,24389.064270365,40,7.1
Honey B. Lovely,Cassia Love,viper,28380.567303608,68,7.1
Honey B. Lovely,Nemui Yawaraka,pictomancer,24925.80806958,43,7.1
Brute Bomber,Scylla Lowee,machinist,26092.830063904,92,7.1
Brute Bomber,Misa Akari,monk,25064.220564022,49,7.1
Brute Bomber,Cassia Love,viper,23622.972187993,6,7.1
Brute Bomber,Nemui Yawaraka,pictomancer,23631.728249912,21,7.1
Wicked Thunder,Scylla Lowee,machinist,25930.557110803,88,7.1
Wicked Thunder,Misa Akari,monk,25586.454500579,49,7.1
Wicked Thunder,Cassia Love,viper,27585.685627968,37,7.1
Wicked Thunder,Nemui Yawaraka,pictomancer,21585.253704996,4,7.1
Black Cat,Hisshi No,warrior,19943.250675473,97,7.1
Black Cat,Vuln Snake,gunbreaker,20208.643650555,96,7.1
Black Cat,Hisshi No,warrior,40151.9,99,7.1
Black Cat,Hisshi No,warrior,19906.98945219,97,7.1
Black Cat,Vuln Snake,gunbreaker,20466.543477063,97,7.1
Black Cat,Hisshi No,warrior,40373.5,99,7.1
Black Cat,Hisshi No,darkknight,20863.244320955,95,7.1
Black Cat,Vuln Snake,gunbreaker,20883.873546672,98,7.1
Black Cat,Hisshi No,darkknight,41747.1,95,7.1
Black Cat,Hisshi No,darkknight,20887.151040973,95,7.1
Black Cat,Vuln Snake,gunbreaker,21472.915329369,99,7.1
Black Cat,Hisshi No,darkknight,42360.1,96,7.1
Honey B. Lovely,Hisshi No,warrior,20279.171460454,99,7.1
Honey B. Lovely,Vuln Snake,gunbreaker,18984.796844318,84,7.1
Honey B. Lovely,Hisshi No,warrior,39264,99,7.1
Brute Bomber,Hisshi No,warrior,20733.219269982,99,7.1
Brute Bomber,Vuln Snake,gunbreaker,20521.010050643,98,7.1
Brute Bomber,Hisshi No,warrior,41254.2,99,7.1
Brute Bomber,Hisshi No,darkknight,19869.546444942,93,7.1
Brute Bomber,Vuln Snake,gunbreaker,19939.264867701,96,7.1
Brute Bomber,Hisshi No,darkknight,39808.8,95,7.1
Brute Bomber,Hisshi No,darkknight,20466.124733172,97,7.1
Brute Bomber,Vuln Snake,gunbreaker,20478.900233936,98,7.1
Brute Bomber,Hisshi No,darkknight,40945,97,7.1
Black Cat,Crow Xo,astrologian,13643.235064545,96,7.1
Black Cat,Yuuki No,scholar,14702.832782948,97,7.1
Black Cat,Crow Xo,astrologian,28346.1,94,7.1
Black Cat,Crow Xo,astrologian,13326.102534974,93,7.1
Black Cat,Yuuki No,scholar,14656.243484013,97,7.1
Black Cat,Crow Xo,astrologian,27982.3,93,7.1
Black Cat,Crow Xo,astrologian,14009.723594861,98,7.1
Black Cat,Yuuki No,scholar,14236.713743743,95,7.1
Black Cat,Crow Xo,astrologian,28246.4,94,7.1
Black Cat,Crow Xo,astrologian,13481.807501786,95,7.1
Black Cat,Yuuki No,scholar,14631.92800998,97,7.1
Black Cat,Crow Xo,astrologian,28113.7,93,7.1
Honey B. Lovely,Crow Xo,astrologian,13349.402254306,96,7.1
Honey B. Lovely,Yuuki No,scholar,14782.966842847,99,7.1
Honey B. Lovely,Crow Xo,astrologian,28132.4,99,7.1
Brute Bomber,Crow Xo,astrologian,14054.145200489,99,7.1
Brute Bomber,Yuuki No,scholar,14120.367920919,97,7.1
Brute Bomber,Crow Xo,astrologian,28174.5,99,7.1
Brute Bomber,Crow Xo,astrologian,13611.903998484,98,7.1
Brute Bomber,Yuuki No,scholar,12227.147354384,76,7.1
Brute Bomber,Crow Xo,astrologian,25839.1,93,7.1
Brute Bomber,Crow Xo,astrologian,13626.101908268,98,7.1
Brute Bomber,Yuuki No,scholar,14550.264078833,99,7.1
Brute Bomber,Crow Xo,astrologian,28176.4,99,7.1
Black Cat,Pijou Dew,bard,21466.99969979,91,7.1
Black Cat,Wuju Smorc,blackmage,30373.117828057,99,7.1
Black Cat,Nyan Pls,monk,28135.646952867,93,7.1
Black Cat,Lars Ronsenburg,samurai,30217.128935422,96,7.1
Black Cat,Pijou Dew,bard,21743.794383609,94,7.1
Black Cat,Wuju Smorc,blackmage,30108.958245356,98,7.1
Black Cat,Nyan Pls,monk,28009.970209207,92,7.1
Black Cat,Lars Ronsenburg,samurai,30080.418681724,95,7.1
Black Cat,Pijou Dew,bard,22673.118000054,98,7.1
Black Cat,Nyan Pls,monk,28359.777914565,95,7.1
Black Cat,Lars Ronsenburg,samurai,31260.553731667,98,7.1
Black Cat,Wuju Smorc,pictomancer,29980.418459413,97,7.1
Black Cat,Pijou Dew,bard,22226.565092591,97,7.1
Black Cat,Nyan Pls,monk,27491.828454467,88,7.1
Black Cat,Lars Ronsenburg,samurai,31056.561656135,98,7.1
Black Cat,Wuju Smorc,pictomancer,29877.121738547,97,7.1
Honey B. Lovely,Pijou Dew,bard,21669.851471873,93,7.1
Honey B. Lovely,Nyan Pls,monk,28143.904464494,97,7.1
Honey B. Lovely,Lars Ronsenburg,samurai,31450.602932201,99,7.1
Honey B. Lovely,Wuju Smorc,pictomancer,29516.089774084,98,7.1
Brute Bomber,Pijou Dew,bard,21598.798338152,93,7.1
Brute Bomber,Nyan Pls,monk,27570.501999281,92,7.1
Brute Bomber,Lars Ronsenburg,samurai,31256.776887075,99,7.1
Brute Bomber,Wuju Smorc,pictomancer,30004.020144056,98,7.1
Brute Bomber,Pijou Dew,bard,21368.534755569,90,7.1
Brute Bomber,Nyan Pls,monk,29363.92983888,99,7.1
Brute Bomber,Lars Ronsenburg,samurai,30178.113978387,97,7.1
Brute Bomber,Wuju Smorc,pictomancer,26322.785740147,63,7.1
Brute Bomber,Pijou Dew,bard,22366.455353047,98,7.1
Brute Bomber,Nyan Pls,monk,27663.385744672,93,7.1
Brute Bomber,Lars Ronsenburg,samurai,30575.445351601,98,7.1
Brute Bomber,Wuju Smorc,pictomancer,29512.113217116,97,7.1
Wicked Thunder,Sylvie Raine,paladin,17629.115154883,35,7.1
Wicked Thunder,Kerei Hiyori,gunbreaker,18078.554561149,51,7.1
Wicked Thunder,Sylvie Raine,paladin,35707.7,63,7.1
Wicked Thunder,Azhrin Nightheaven,astrologian,9866.1202944854,18,7.1
Wicked Thunder,Jhin Omnia,sage,12396.551108289,27,7.1
Wicked Thunder,Azhrin Nightheaven,astrologian,22262.7,30,7.1
Wicked Thunder,Lilia Shard,monk,22222.954830861,5,7.1
Wicked Thunder,Sol Lucis,dancer,20686.289762467,59,7.1
Wicked Thunder,Palikka Likka,reaper,24005.065485361,13,7.1
Wicked Thunder,Apo Tizer,pictomancer,22861.961862516,10,7.1
Honey B. Lovely,Calson Sadd,darkknight,17485.664180974,47,7.1
Honey B. Lovely,Aya Akashi,gunbreaker,16246.765845624,25,7.1
Honey B. Lovely,Calson Sadd,darkknight,33732.4,48,7.1
Brute Bomber,Calson Sadd,darkknight,17658.779195164,44,7.1
Brute Bomber,Aya Akashi,gunbreaker,17340.386943658,39,7.1
Brute Bomber,Calson Sadd,darkknight,34999.2,58,7.1
Honey B. Lovely,Reinette Noirterel,whitemage,13586.694526324,58,7.1
Honey B. Lovely,Arak Terom,sage,12373.198583564,36,7.1
Honey B. Lovely,Reinette Noirterel,whitemage,25959.9,67,7.1
Brute Bomber,Reinette Noirterel,whitemage,11701.868971544,18,7.1
Brute Bomber,Arak Terom,sage,11750.250559248,23,7.1
Brute Bomber,Reinette Noirterel,whitemage,23452.1,29,7.1
Honey B. Lovely,Smol Gangster,ninja,22488.560306030002,19,7.1
Honey B. Lovely,Bread Gloves,dancer,18890.156906015,29,7.1
Honey B. Lovely,Jenny Death,viper,26536.613687942,39,7.1
Honey B. Lovely,Ashlee White,pictomancer,18764.230545769,2,7.1
Brute Bomber,Smol Gangster,ninja,23983.156004201,34,7.1
Brute Bomber,Bread Gloves,dancer,19214.595777776,27,7.1
Brute Bomber,Jenny Death,viper,26855.738106788,38,7.1
Brute Bomber,Ashlee White,pictomancer,21917.128631105,7,7.1
Honey B. Lovely,Kazuya Saito,darkknight,15812.9192275,16,7.1
Honey B. Lovely,Omegal Ul,paladin,17212.923750775,42,7.1
Honey B. Lovely,Kazuya Saito,darkknight,33025.8,37,7.1
Brute Bomber,Kazuya Saito,darkknight,16906.342312984,26,7.1
Brute Bomber,Omegal Ul,paladin,17833.866296319,52,7.1
Brute Bomber,Kazuya Saito,darkknight,34740.2,56,7.1
Wicked Thunder,Kazuya Saito,darkknight,17018.149878229,21,7.1
Wicked Thunder,Omegal Ul,paladin,17970.664484103,44,7.1
Wicked Thunder,Kazuya Saito,darkknight,34988.8,48,7.1
Honey B. Lovely,Nathalyaa Hikari,scholar,12363.403689108,73,7.1
Honey B. Lovely,Jiang Jun,whitemage,13917.582158695,65,7.1
Honey B. Lovely,Nathalyaa Hikari,scholar,26281,85,7.1
Brute Bomber,Nathalyaa Hikari,scholar,11413.382556234,58,7.1
Brute Bomber,Jiang Jun,whitemage,12139.807363549,25,7.1
Brute Bomber,Nathalyaa Hikari,scholar,23553.2,59,7.1
Wicked Thunder,Nathalyaa Hikari,scholar,11497.215900773,54,7.1
Wicked Thunder,Jiang Jun,whitemage,11863.00821123,16,7.1
Wicked Thunder,Nathalyaa Hikari,scholar,23360.2,47,7.1
Honey B. Lovely,Feli Kiyo,monk,26652.031003774,80,7.1
Honey B. Lovely,Midana Taragon,dancer,18985.504788075,30,7.1
Honey B. Lovely,Gimme Ramen,reaper,25883.1204567,58,7.1
Honey B. Lovely,Sariel Citreth,pictomancer,24439.592603691,37,7.1
Brute Bomber,Feli Kiyo,monk,25988.811200342,67,7.1
Brute Bomber,Midana Taragon,dancer,18903.452445482,22,7.1
Brute Bomber,Gimme Ramen,reaper,24751.230839794,35,7.1
Brute Bomber,Sariel Citreth,pictomancer,24278.987680376,29,7.1
Wicked Thunder,Feli Kiyo,monk,21657.644698825,4,7.1
Wicked Thunder,Midana Taragon,dancer,19296.253709692,23,7.1
Wicked Thunder,Gimme Ramen,reaper,25541.483344645,32,7.1
Wicked Thunder,Sariel Citreth,pictomancer,24477.266738532,24,7.1
Black Cat,Gearing Oni,darkknight,12627.400751118,2,7.1
Black Cat,Koko Eisner,paladin,14602.94093057,14,7.1
Black Cat,Gearing Oni,darkknight,27230.3,4,7.1
Black Cat,Nami Minagawa,whitemage,7284.6121175436,1,7.1
Black Cat,Teemo Grindvior,sage,10829.57384264,19,7.1
Black Cat,Nami Minagawa,whitemage,18114.2,4,7.1
Black Cat,Chase Fringal,machinist,17836.62518686,3,7.1
Black Cat,Gin Takaragi,monk,21006.812230579,13,7.1
Black Cat,Kayemi Ryunee,samurai,21404.401363115,9,7.1
Black Cat,Syphox Hakuda,pictomancer,19726.204848489,9,7.1
Black Cat,Mistral Blossom,darkknight,18577.784161764,72,7.1
Black Cat,Jokersoal Jocos,warrior,18766.158922093,83,7.1
Black Cat,Mistral Blossom,darkknight,37343.9,90,7.1
Honey B. Lovely,Mistral Blossom,darkknight,18433.069308072,67,7.1
Honey B. Lovely,Jokersoal Jocos,warrior,17140.631393711,44,7.1
Honey B. Lovely,Mistral Blossom,darkknight,35573.7,76,7.1
Brute Bomber,Mistral Blossom,darkknight,18115.595310602,57,7.1
Brute Bomber,Jokersoal Jocos,warrior,18525.243192837,74,7.1
Brute Bomber,Mistral Blossom,darkknight,36640.8,84,7.1
Wicked Thunder,Mistral Blossom,darkknight,17934.548905697,45,7.1
Wicked Thunder,Jokersoal Jocos,warrior,18529.964625694,72,7.1
Wicked Thunder,Mistral Blossom,darkknight,36464.5,79,7.1
Black Cat,Daga Arken,astrologian,10683.450747906,45,7.1
Black Cat,Lilian Luxus,scholar,11397.011423709,52,7.1
Black Cat,Daga Arken,astrologian,22080.5,52,7.1
Honey B. Lovely,Daga Arken,astrologian,10000.56480786,27,7.1
Honey B. Lovely,Lilian Luxus,scholar,12266.944716069,71,7.1
Honey B. Lovely,Daga Arken,astrologian,22267.5,59,7.1
Brute Bomber,Daga Arken,astrologian,10536.545164876,39,7.1
Brute Bomber,Lilian Luxus,scholar,11104.910998476,50,7.1
Brute Bomber,Daga Arken,astrologian,21641.5,55,7.1
Wicked Thunder,Daga Arken,astrologian,10678.561157286,34,7.1
Wicked Thunder,Lilian Luxus,scholar,11514.192861868,54,7.1
Wicked Thunder,Daga Arken,astrologian,22192.8,55,7.1
Black Cat,Armys Everfield,blackmage,27560.632386637,78,7.1
Black Cat,Tabouret Tabhyo,samurai,28568.306623228,83,7.1
Black Cat,Ini Moonlight,dancer,19970.075062625,60,7.1
Honey B. Lovely,Armys Everfield,blackmage,26470.721665759,57,7.1
Honey B. Lovely,Tabouret Tabhyo,samurai,28506.939433586,83,7.1
Honey B. Lovely,Ini Moonlight,dancer,20400.731176433,56,7.1
Brute Bomber,Armys Everfield,blackmage,28736.737121204,89,7.1
Brute Bomber,Tabouret Tabhyo,samurai,27247.260770794,62,7.1
Brute Bomber,Ini Moonlight,dancer,20632.771073558,62,7.1
Wicked Thunder,Armys Everfield,blackmage,26242.849685392,41,7.1
Wicked Thunder,Tabouret Tabhyo,samurai,27778.901796786,63,7.1
Wicked Thunder,Ini Moonlight,dancer,20188.75787294,44,7.1
Black Cat,Happy Meal,paladin,16399.215826056,36,7.1
Black Cat,Feyla Farsight,warrior,16431.551119824,40,7.1
Black Cat,Happy Meal,paladin,32830.8,52,7.1
Honey B. Lovely,Happy Meal,paladin,15347.827597811,11,7.1
Honey B. Lovely,Feyla Farsight,warrior,16661.891332338,33,7.1
Honey B. Lovely,Happy Meal,paladin,32009.7,28,7.1
Brute Bomber,Happy Meal,paladin,18262.064967264,63,7.1
Brute Bomber,Feyla Farsight,warrior,14479.748538892,2,7.1
Brute Bomber,Happy Meal,paladin,32741.8,28,7.1
Wicked Thunder,Happy Meal,paladin,18117.317717417,48,7.1
Wicked Thunder,Feyla Farsight,warrior,15473.139283413,4,7.1
Wicked Thunder,Happy Meal,paladin,33590.5,30,7.1
Black Cat,Pamiat Lunasviel,whitemage,12707.501138636,45,7.1
Black Cat,Gundam Muffin,sage,12285.235351195,38,7.1
Black Cat,Pamiat Lunasviel,whitemage,24992.7,59,7.1
